,仁義潭水庫,南化水庫,寶山第二水庫,德基水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,烏山頭水庫,牡丹水庫,白河水庫,石岡壩,石門水庫,翡翠水庫,阿公店水庫,霧社水庫,鯉魚潭水庫
2018-1-1,0.0,0.3,5.55,100.56,35.08,1.3,13.0,3.0,3.1,0.0,2.68,0.47,149.7,121.45,259.63,0.0,35.0,25.66
2018-1-2,0.0,0.3,5.35,83.58,35.08,0.38,14.0,2.4,2.76,0.0,4.45,0.46,149.0,120.85,211.54,0.35,38.88,25.75
2018-1-3,0.0,0.3,4.82,93.7,35.08,0.85,14.0,2.6,2.41,0.0,2.53,0.39,152.4,104.2,176.13,1.79,38.88,23.67
2018-1-4,0.8,3.9,4.63,99.09,29.38,0.77,14.0,2.6,3.11,7.5,2.56,0.0,179.1,123.26,167.12,0.0,35.23,24.02
2018-1-5,2.26,2.6,5.84,88.32,32.23,1.25,13.0,3.8,2.33,0.0,6.13,0.0,189.9,117.4,158.22,0.27,30.27,27.3
2018-1-6,12.17,6.4,12.69,212.79,35.08,3.65,28.0,8.9,6.39,0.0,6.13,0.0,196.6,133.02,255.48,16.08,93.98,29.89
2018-1-7,8.48,38.3,106.23,576.36,203.47,31.31,14.0,58.0,8.78,0.5,3.78,0.14,218.5,333.93,1295.23,16.09,102.53,136.51
2018-1-8,14.45,19.7,141.27,857.11,322.62,95.77,55.0,72.4,16.37,7.7,3.8,0.0,537.2,715.33,898.19,13.4,297.17,268.36
2018-1-9,34.69,92.2,155.2,1102.57,148.09,60.0,83.0,60.7,5.34,0.7,4.98,0.0,1998.4,1545.51,780.88,10.71,484.4,330.31
2018-1-10,20.71,129.4,147.78,779.56,0.0,90.58,75.8,58.4,0.0,181.7,5.0,0.34,2131.8,1114.35,520.01,2.64,456.21,302.66
2018-1-11,12.47,58.9,165.01,564.6,0.0,18.24,61.1,60.1,34.18,336.4,3.83,0.22,1650.5,620.85,342.96,35.34,398.75,293.07
2018-1-12,7.42,29.8,139.69,426.97,131.67,8.67,34.7,59.9,35.94,88.1,2.68,0.32,971.8,430.77,277.15,34.69,207.36,278.0
2018-1-13,5.56,26.1,112.49,369.41,259.11,7.64,42.0,57.1,25.32,5.9,2.7,0.39,795.8,368.49,225.38,31.79,185.76,212.37
2018-1-14,2.14,18.4,93.41,331.85,251.68,5.84,42.0,48.0,18.58,0.0,2.71,0.35,689.5,285.59,148.95,28.52,154.77,171.33
2018-1-15,1.4,14.6,70.18,307.45,248.05,4.95,14.0,41.8,15.14,0.0,2.73,0.52,544.8,277.18,141.6,27.73,138.24,171.5
2018-1-16,0.4,10.1,73.91,296.67,157.51,2.95,22.0,36.3,14.5,351.8,3.91,0.36,562.3,259.53,96.99,19.4,128.61,141.26
2018-1-17,1.35,8.4,61.86,275.65,150.08,2.08,23.5,25.9,9.97,93.0,5.06,0.39,666.4,227.14,97.38,16.62,84.43,129.77
2018-1-18,0.72,5.5,56.87,256.49,127.87,3.08,28.0,22.0,8.69,0.0,3.93,0.24,555.1,226.75,97.2,11.03,102.49,122.08
2018-1-19,2.33,4.9,55.89,261.62,185.16,3.09,28.0,22.0,10.02,0.0,2.79,0.17,532.0,221.31,273.25,11.03,164.86,114.39
2018-1-20,1.93,2.4,48.18,246.83,211.77,3.17,9.0,22.0,8.29,357.0,2.81,0.26,483.7,211.51,228.95,11.04,119.29,134.09
2018-1-21,0.0,1.9,42.66,223.58,160.36,2.23,25.6,25.9,7.42,84.8,2.83,2.74,436.5,206.54,211.27,12.37,103.75,106.7
2018-1-22,2.75,5.0,45.99,214.54,222.22,NULL,42.0,22.0,7.44,0.0,2.84,2.95,303.0,200.66,202.77,12.37,107.26,102.21
2018-1-23,0.0,12.2,39.1,189.61,159.58,2.29,13.0,21.4,9.41,0.0,2.87,2.97,323.3,195.55,150.06,12.38,99.34,100.14
